0	3	0	50
1	0	0	30
2	0	0	20
3	0	1	50
4	1	0	50
5	1	0	40
6	0	1	30
7	3	1	50
8	2	0	30
9	3	1	20
10	0	0	50
11	2	1	40
12	1	1	40
13	2	0	20
14	2	0	20
15	2	0	20
16	2	0	30
17	3	1	30
18	3	1	30
19	1	0	20
20	2	0	30
21	3	1	30
22	0	0	50
23	3	1	50
24	1	0	40
25	1	0	50
26	2	1	20
27	1	1	50
28	3	0	30
29	3	0	30
30	1	0	20
31	0	0	50
32	3	1	40
33	3	0	40
34	3	0	40
35	0	1	40
36	1	0	20
37	2	0	40
38	2	0	30
39	3	0	50
40	2	0	50
41	3	1	50
42	1	0	50
43	3	0	40
44	3	0	20
45	3	0	30
46	1	0	50
47	3	1	30
48	2	1	50
49	3	1	30
50	0	0	30
51	1	1	30
52	1	0	30
53	0	0	20
54	3	0	40
55	3	1	30
56	2	0	50
57	2	1	30
58	2	1	40
59	0	1	40
60	0	1	30
61	0	0	20
62	0	0	50
63	1	1	40
64	2	1	50
65	3	0	30
66	2	1	40
67	3	0	30
68	3	0	40
69	0	0	50
70	3	0	30
71	0	1	40
72	2	1	30
73	0	1	20
74	3	0	50
75	1	0	50
76	0	0	20
77	3	1	20
78	1	0	40
79	3	0	20
80	2	1	20
81	1	1	50
82	3	0	30
83	1	0	20
84	2	1	50
85	2	1	40
86	1	1	40
87	0	0	40
88	3	1	30
89	1	0	20
90	1	1	20
91	0	0	40
92	1	0	30
93	0	1	20
94	1	1	40
95	1	0	40
96	1	0	50
97	3	0	20
98	2	0	50
99	1	0	50
100	0	1	50
101	2	0	30
102	0	0	30
103	1	1	40
104	0	1	30
105	1	1	40
106	3	1	50
107	1	1	50
108	0	1	40
109	3	1	30
110	1	0	50
111	2	1	50
112	2	1	20
113	2	0	20
114	3	0	20
115	1	0	50
116	1	0	20
117	1	0	40
118	0	0	40
119	1	1	50
120	3	1	50
121	2	1	40
122	1	0	20
123	2	0	30
124	3	0	20
125	0	1	30
126	0	0	30
127	3	1	20
128	0	0	50
129	3	1	50
130	1	0	40
131	0	0	50
132	0	1	50
133	2	0	20
134	2	1	20
135	0	0	50
136	2	0	50
137	1	1	40
138	0	1	20
139	3	0	40
140	2	1	30
141	1	1	30
142	1	0	50
143	2	1	40
144	1	0	30
145	3	1	40
146	2	0	50
147	2	0	20
148	1	0	30
149	1	0	40
150	2	1	20
151	0	0	30
152	3	1	50
153	2	1	20
154	3	0	40
155	2	1	40
156	1	0	40
157	2	0	20
158	1	1	20
159	0	1	30
160	3	1	50
161	3	1	40
162	3	0	20
163	0	1	50
164	1	0	50
165	2	1	30
166	0	1	20
167	2	0	20
168	0	1	40
169	2	1	50
170	1	1	30
171	0	1	20
172	2	1	20
173	3	1	30
174	1	0	40
175	2	0	20
176	2	0	30
177	3	1	20
178	3	1	40
179	3	1	30
180	1	0	50
181	2	1	50
182	3	1	50
183	3	1	30
184	1	1	20
185	2	0	50
186	1	0	20
187	2	0	40
188	2	0	30
189	3	1	20
190	1	1	20
191	0	0	50
192	3	1	40
193	1	0	50
194	1	0	20
195	1	1	20
196	1	1	40
197	2	1	20
198	2	0	40
199	2	0	30
200	0	0	50
201	1	1	30
202	2	1	50
203	0	1	40
204	1	0	40
205	0	0	30
206	0	0	30
207	1	0	50
208	3	1	30
209	2	1	50
210	1	0	40
211	2	0	30
212	3	1	50
213	0	1	30
214	0	1	30
215	0	0	50
216	0	0	30
217	0	0	50
218	2	0	20
219	2	1	50
220	0	0	20
221	1	0	30
222	2	0	20
223	1	0	20
224	1	1	20
225	3	0	50
226	0	0	30
227	3	1	50
228	3	0	40
229	0	1	50
230	1	1	30
231	1	1	30
232	1	0	40
233	1	1	20
234	0	0	30
235	1	1	40
236	3	1	20
237	0	1	20
238	2	0	50
239	1	1	20
240	0	1	50
241	0	0	30
242	0	0	20
243	1	1	20
244	1	1	40
245	0	1	30
246	3	1	40
247	1	0	20
248	3	0	30
249	3	0	50
250	0	0	40
251	0	0	50
252	3	0	50
253	3	0	30
254	0	1	40
255	1	1	30
